# ParticleTable.txt file containing particle
# properties for ParticlePropertySvc, EvtGen and Pythia.
# Uses PDG 2014 when available.
# https://gitlab.cern.ch/lhcb-conddb/DDDB/-/blob/master/param/ParticleTable.txt
PARTICLE,GEANTID,PDGID,CHARGE,MASS(GeV),TLIFE(s),EVTGENNAME,PYTHIAID,MAXWIDTH
gamma,1,22,0.0,0.00000000,1.000000e+16,gamma,22,0.00000000
W+,53,24,1.0,80.37900000,3.156893e-25,W+,24,0.00000000
W-,54,-24,-1.0,80.37900000,3.156893e-25,W-,-24,0.00000000
Z0,55,23,0.0,91.18760000,2.637914e-25,Z0,23,0.00000000
e+,2,-11,1.0,0.00051100,1.000000e+16,e+,-11,0.00000000
e-,3,11,-1.0,0.00051100,1.000000e+16,e-,11,0.00000000
nu_e,4,12,0.0,0.00000000,1.000000e+16,nu_e,12,0.00000000
nu_e~,302,-12,0.0,0.00000000,1.000000e+16,anti-nu_e,-12,0.00000000
mu+,5,-13,1.0,0.10565837,2.196981e-06,mu+,-13,0.00000000
mu-,6,13,-1.0,0.10565837,2.196981e-06,mu-,13,0.00000000
nu_mu,300,14,0.0,0.00000000,1.000000e+16,nu_mu,14,0.00000000
nu_mu~,301,-14,0.0,0.00000000,1.000000e+16,anti-nu_mu,-14,0.00000000
tau+,51,-15,1.0,1.77686000,2.903449e-13,tau+,-15,0.00000000
tau-,52,15,-1.0,1.77686000,2.903449e-13,tau-,15,0.00000000
pi0,7,111,0.0,0.13497700,8.520000e-17,pi0,111,0.00000000
pi+,8,211,1.0,0.13957061,2.603300e-08,pi+,211,0.00000000
pi-,9,-211,-1.0,0.13957061,2.603300e-08,pi-,-211,0.00000000
eta,17,221,0.0,0.54786200,5.063171e-19,eta,221,0.00000000
rho(770)0,33,113,0.0,0.77526000,4.414569e-24,rho0,113,0.00000000
rho(770)+,34,213,1.0,0.77526000,4.414569e-24,rho+,213,0.00000000
rho(770)-,35,-213,-1.0,0.77526000,4.414569e-24,rho-,-213,0.00000000
omega(782),36,223,0.0,0.78265000,7.752794e-23,omega,223,0.00000000
eta_prime,127,331,0.0,0.95778000,3.358224e-21,eta',331,0.00000000
sigma_0,850,9000221,0.0,0.47500000,1.196749e-24,sigma_0,0,0.00000000
