DeepFlavour;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "1.04891*((1.+(0.0145976*x))/(1.+(0.0165274*x)))"
0, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "1.04891*((1.+(0.0145976*x))/(1.+(0.0165274*x)))"
0, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "(1.04891*((1.+(0.0145976*x))/(1.+(0.0165274*x))))-0.18561962246894836"
0, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "(1.04891*((1.+(0.0145976*x))/(1.+(0.0165274*x))))-0.052777081727981567"
0, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "(1.04891*((1.+(0.0145976*x))/(1.+(0.0165274*x))))-0.044571302831172943"
0, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "(1.04891*((1.+(0.0145976*x))/(1.+(0.0165274*x))))-0.047755878418684006"
0, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "(1.04891*((1.+(0.0145976*x))/(1.+(0.0165274*x))))-0.047674369066953659"
0, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "(1.04891*((1.+(0.0145976*x))/(1.+(0.0165274*x))))-0.051324609667062759"
0, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "(1.04891*((1.+(0.0145976*x))/(1.+(0.0165274*x))))-0.079239755868911743"
0, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "(1.04891*((1.+(0.0145976*x))/(1.+(0.0165274*x))))-0.091035366058349609"
0, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "(1.04891*((1.+(0.0145976*x))/(1.+(0.0165274*x))))-0.11563461273908615"
0, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "(1.04891*((1.+(0.0145976*x))/(1.+(0.0165274*x))))-0.074247851967811584"
0, comb, down, 0, -2.5, 2.5, 30, 50, 0, 1, "(1.04891*((1.+(0.0145976*x))/(1.+(0.0165274*x))))-0.021110832691192627"
0, comb, down, 0, -2.5, 2.5, 50, 70, 0, 1, "(1.04891*((1.+(0.0145976*x))/(1.+(0.0165274*x))))-0.017828520387411118"
0, comb, down, 0, -2.5, 2.5, 70, 100, 0, 1, "(1.04891*((1.+(0.0145976*x))/(1.+(0.0165274*x))))-0.019102351740002632"
0, comb, down, 0, -2.5, 2.5, 100, 140, 0, 1, "(1.04891*((1.+(0.0145976*x))/(1.+(0.0165274*x))))-0.019069747999310493"
0, comb, down, 0, -2.5, 2.5, 140, 200, 0, 1, "(1.04891*((1.+(0.0145976*x))/(1.+(0.0165274*x))))-0.020529843866825104"
0, comb, down, 0, -2.5, 2.5, 200, 300, 0, 1, "(1.04891*((1.+(0.0145976*x))/(1.+(0.0165274*x))))-0.031695902347564697"
0, comb, down, 0, -2.5, 2.5, 300, 600, 0, 1, "(1.04891*((1.+(0.0145976*x))/(1.+(0.0165274*x))))-0.036414146423339844"
0, comb, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "(1.04891*((1.+(0.0145976*x))/(1.+(0.0165274*x))))-0.04625384509563446"
0, comb, up, 1, -2.5, 2.5, 20, 30, 0, 1, "(1.04891*((1.+(0.0145976*x))/(1.+(0.0165274*x))))+0.18561962246894836"
0, comb, up, 1, -2.5, 2.5, 30, 50, 0, 1, "(1.04891*((1.+(0.0145976*x))/(1.+(0.0165274*x))))+0.052777081727981567"
0, comb, up, 1, -2.5, 2.5, 50, 70, 0, 1, "(1.04891*((1.+(0.0145976*x))/(1.+(0.0165274*x))))+0.044571302831172943"
0, comb, up, 1, -2.5, 2.5, 70, 100, 0, 1, "(1.04891*((1.+(0.0145976*x))/(1.+(0.0165274*x))))+0.047755878418684006"
0, comb, up, 1, -2.5, 2.5, 100, 140, 0, 1, "(1.04891*((1.+(0.0145976*x))/(1.+(0.0165274*x))))+0.047674369066953659"
0, comb, up, 1, -2.5, 2.5, 140, 200, 0, 1, "(1.04891*((1.+(0.0145976*x))/(1.+(0.0165274*x))))+0.051324609667062759"
0, comb, up, 1, -2.5, 2.5, 200, 300, 0, 1, "(1.04891*((1.+(0.0145976*x))/(1.+(0.0165274*x))))+0.079239755868911743"
0, comb, up, 1, -2.5, 2.5, 300, 600, 0, 1, "(1.04891*((1.+(0.0145976*x))/(1.+(0.0165274*x))))+0.091035366058349609"
0, comb, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "(1.04891*((1.+(0.0145976*x))/(1.+(0.0165274*x))))+0.11563461273908615"
0, comb, up, 0, -2.5, 2.5, 20, 30, 0, 1, "(1.04891*((1.+(0.0145976*x))/(1.+(0.0165274*x))))+0.074247851967811584"
0, comb, up, 0, -2.5, 2.5, 30, 50, 0, 1, "(1.04891*((1.+(0.0145976*x))/(1.+(0.0165274*x))))+0.021110832691192627"
0, comb, up, 0, -2.5, 2.5, 50, 70, 0, 1, "(1.04891*((1.+(0.0145976*x))/(1.+(0.0165274*x))))+0.017828520387411118"
0, comb, up, 0, -2.5, 2.5, 70, 100, 0, 1, "(1.04891*((1.+(0.0145976*x))/(1.+(0.0165274*x))))+0.019102351740002632"
0, comb, up, 0, -2.5, 2.5, 100, 140, 0, 1, "(1.04891*((1.+(0.0145976*x))/(1.+(0.0165274*x))))+0.019069747999310493"
0, comb, up, 0, -2.5, 2.5, 140, 200, 0, 1, "(1.04891*((1.+(0.0145976*x))/(1.+(0.0165274*x))))+0.020529843866825104"
0, comb, up, 0, -2.5, 2.5, 200, 300, 0, 1, "(1.04891*((1.+(0.0145976*x))/(1.+(0.0165274*x))))+0.031695902347564697"
0, comb, up, 0, -2.5, 2.5, 300, 600, 0, 1, "(1.04891*((1.+(0.0145976*x))/(1.+(0.0165274*x))))+0.036414146423339844"
0, comb, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "(1.04891*((1.+(0.0145976*x))/(1.+(0.0165274*x))))+0.04625384509563446"
1, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.991757*((1.+(0.0209615*x))/(1.+(0.0234962*x)))"
1, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.991757*((1.+(0.0209615*x))/(1.+(0.0234962*x)))"
1, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.991757*((1.+(0.0209615*x))/(1.+(0.0234962*x))))-0.22882774472236633"
1, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.991757*((1.+(0.0209615*x))/(1.+(0.0234962*x))))-0.079194873571395874"
1, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.991757*((1.+(0.0209615*x))/(1.+(0.0234962*x))))-0.07602342963218689"
1, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.991757*((1.+(0.0209615*x))/(1.+(0.0234962*x))))-0.073120191693305969"
1, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.991757*((1.+(0.0209615*x))/(1.+(0.0234962*x))))-0.078529126942157745"
1, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.991757*((1.+(0.0209615*x))/(1.+(0.0234962*x))))-0.086113773286342621"
1, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.991757*((1.+(0.0209615*x))/(1.+(0.0234962*x))))-0.11148297786712646"
1, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.991757*((1.+(0.0209615*x))/(1.+(0.0234962*x))))-0.10986694693565369"
1, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.991757*((1.+(0.0209615*x))/(1.+(0.0234962*x))))-0.12645691633224487"
1, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.991757*((1.+(0.0209615*x))/(1.+(0.0234962*x))))-0.076275914907455444"
1, comb, down, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.991757*((1.+(0.0209615*x))/(1.+(0.0234962*x))))-0.026398291811347008"
1, comb, down, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.991757*((1.+(0.0209615*x))/(1.+(0.0234962*x))))-0.02534114383161068"
1, comb, down, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.991757*((1.+(0.0209615*x))/(1.+(0.0234962*x))))-0.02437339723110199"
1, comb, down, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.991757*((1.+(0.0209615*x))/(1.+(0.0234962*x))))-0.026176376268267632"
1, comb, down, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.991757*((1.+(0.0209615*x))/(1.+(0.0234962*x))))-0.02870459109544754"
1, comb, down, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.991757*((1.+(0.0209615*x))/(1.+(0.0234962*x))))-0.037160992622375488"
1, comb, down, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.991757*((1.+(0.0209615*x))/(1.+(0.0234962*x))))-0.036622315645217896"
1, comb, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.991757*((1.+(0.0209615*x))/(1.+(0.0234962*x))))-0.04215230792760849"
1, comb, up, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.991757*((1.+(0.0209615*x))/(1.+(0.0234962*x))))+0.22882774472236633"
1, comb, up, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.991757*((1.+(0.0209615*x))/(1.+(0.0234962*x))))+0.079194873571395874"
1, comb, up, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.991757*((1.+(0.0209615*x))/(1.+(0.0234962*x))))+0.07602342963218689"
1, comb, up, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.991757*((1.+(0.0209615*x))/(1.+(0.0234962*x))))+0.073120191693305969"
1, comb, up, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.991757*((1.+(0.0209615*x))/(1.+(0.0234962*x))))+0.078529126942157745"
1, comb, up, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.991757*((1.+(0.0209615*x))/(1.+(0.0234962*x))))+0.086113773286342621"
1, comb, up, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.991757*((1.+(0.0209615*x))/(1.+(0.0234962*x))))+0.11148297786712646"
1, comb, up, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.991757*((1.+(0.0209615*x))/(1.+(0.0234962*x))))+0.10986694693565369"
1, comb, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.991757*((1.+(0.0209615*x))/(1.+(0.0234962*x))))+0.12645691633224487"
1, comb, up, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.991757*((1.+(0.0209615*x))/(1.+(0.0234962*x))))+0.076275914907455444"
1, comb, up, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.991757*((1.+(0.0209615*x))/(1.+(0.0234962*x))))+0.026398291811347008"
1, comb, up, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.991757*((1.+(0.0209615*x))/(1.+(0.0234962*x))))+0.02534114383161068"
1, comb, up, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.991757*((1.+(0.0209615*x))/(1.+(0.0234962*x))))+0.02437339723110199"
1, comb, up, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.991757*((1.+(0.0209615*x))/(1.+(0.0234962*x))))+0.026176376268267632"
1, comb, up, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.991757*((1.+(0.0209615*x))/(1.+(0.0234962*x))))+0.02870459109544754"
1, comb, up, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.991757*((1.+(0.0209615*x))/(1.+(0.0234962*x))))+0.037160992622375488"
1, comb, up, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.991757*((1.+(0.0209615*x))/(1.+(0.0234962*x))))+0.036622315645217896"
1, comb, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.991757*((1.+(0.0209615*x))/(1.+(0.0234962*x))))+0.04215230792760849"
2, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.908648*((1.+(0.00516407*x))/(1.+(0.00564675*x)))"
2, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.908648*((1.+(0.00516407*x))/(1.+(0.00564675*x)))"
2, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.908648*((1.+(0.00516407*x))/(1.+(0.00564675*x))))-0.29166096448898315"
2, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.908648*((1.+(0.00516407*x))/(1.+(0.00564675*x))))-0.11922945827245712"
2, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.908648*((1.+(0.00516407*x))/(1.+(0.00564675*x))))-0.10877241939306259"
2, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.908648*((1.+(0.00516407*x))/(1.+(0.00564675*x))))-0.096656471490859985"
2, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.908648*((1.+(0.00516407*x))/(1.+(0.00564675*x))))-0.10989730805158615"
2, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.908648*((1.+(0.00516407*x))/(1.+(0.00564675*x))))-0.12157130241394043"
2, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.908648*((1.+(0.00516407*x))/(1.+(0.00564675*x))))-0.1550547182559967"
2, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.908648*((1.+(0.00516407*x))/(1.+(0.00564675*x))))-0.1779310405254364"
2, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.908648*((1.+(0.00516407*x))/(1.+(0.00564675*x))))-0.14317682385444641"
2, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.908648*((1.+(0.00516407*x))/(1.+(0.00564675*x))))-0.083331704139709473"
2, comb, down, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.908648*((1.+(0.00516407*x))/(1.+(0.00564675*x))))-0.034065559506416321"
2, comb, down, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.908648*((1.+(0.00516407*x))/(1.+(0.00564675*x))))-0.031077833846211433"
2, comb, down, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.908648*((1.+(0.00516407*x))/(1.+(0.00564675*x))))-0.027616133913397789"
2, comb, down, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.908648*((1.+(0.00516407*x))/(1.+(0.00564675*x))))-0.031399231404066086"
2, comb, down, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.908648*((1.+(0.00516407*x))/(1.+(0.00564675*x))))-0.034734658896923065"
2, comb, down, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.908648*((1.+(0.00516407*x))/(1.+(0.00564675*x))))-0.044301345944404602"
2, comb, down, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.908648*((1.+(0.00516407*x))/(1.+(0.00564675*x))))-0.050837442278862"
2, comb, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.908648*((1.+(0.00516407*x))/(1.+(0.00564675*x))))-0.040907666087150574"
2, comb, up, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.908648*((1.+(0.00516407*x))/(1.+(0.00564675*x))))+0.29166096448898315"
2, comb, up, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.908648*((1.+(0.00516407*x))/(1.+(0.00564675*x))))+0.11922945827245712"
2, comb, up, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.908648*((1.+(0.00516407*x))/(1.+(0.00564675*x))))+0.10877241939306259"
