DeepFlavour;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
3, iterativefit, central, 1, 0.0, 2.5, 20.0, 10000, -15, 1.1, 1.0
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 20, 30, -15, 0, 0.0
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 20, 30, 0, 0.086, 1.51679456234
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 20, 30, 0.086, 0.192, 13.4319504952*(x-0.086)*(x-0.086)*(x-0.086)-6.40974212983*(x-0.086)*(x-0.086)-2.22207551861*(x-0.086)+1.5167945623397827
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 20, 30, 0.192, 0.233, 2283.68102041*(x-0.192)*(x-0.192)*(x-0.192)-102.297886867*(x-0.192)*(x-0.192)-3.12817666284*(x-0.192)+1.2252323627471924
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 20, 30, 0.233, 0.2745, -2213.84564495*(x-0.233)*(x-0.233)*(x-0.233)+137.811891398*(x-0.233)*(x-0.233)+0.0*(x-0.233)+1.0824079513549805
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 20, 30, 0.2745, 0.3235, 1736.20996534*(x-0.2745)*(x-0.2745)*(x-0.2745)-140.06417813*(x-0.2745)*(x-0.2745)+0.0*(x-0.2745)+1.161523461341858
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 20, 30, 0.3235, 0.383, -39.5940359858*(x-0.3235)*(x-0.3235)*(x-0.3235)+9.91418278582*(x-0.3235)*(x-0.3235)-1.22036907645*(x-0.3235)+1.029492735862732
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 20, 30, 0.383, 0.445, 50.5291777739*(x-0.383)*(x-0.383)*(x-0.383)-0.980667705252*(x-0.383)*(x-0.383)-0.461099682638*(x-0.383)+0.9836391806602478
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 20, 30, 0.445, 0.5085, -45.3054928711*(x-0.445)*(x-0.445)*(x-0.445)+4.31534819597*(x-0.445)*(x-0.445)+0.0*(x-0.445)+0.9633238315582275
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 20, 30, 0.5085, 0.573, 364.336819925*(x-0.5085)*(x-0.5085)*(x-0.5085)-35.2495873277*(x-0.5085)*(x-0.5085)+0.0*(x-0.5085)+0.9691240191459656
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 20, 30, 0.573, 0.6375, -391.127089022*(x-0.573)*(x-0.573)*(x-0.573)+37.8415458628*(x-0.573)*(x-0.573)+0.0*(x-0.573)+0.92024165391922
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 20, 30, 0.6375, 0.703, 37.546946729*(x-0.6375)*(x-0.6375)*(x-0.6375)-9.49976549472*(x-0.6375)*(x-0.6375)+0.0*(x-0.6375)+0.9727184176445007
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 20, 30, 0.703, 0.769, 830.536019825*(x-0.703)*(x-0.703)*(x-0.703)-76.4563090293*(x-0.703)*(x-0.703)-0.761211915197*(x-0.703)+0.9425131678581238
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 20, 30, 0.769, 0.835, -402.197421325*(x-0.769)*(x-0.769)*(x-0.769)+39.8175447112*(x-0.769)*(x-0.769)+0.0*(x-0.769)+0.7980052828788757
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 20, 30, 0.835, 0.901, 66.3278190897*(x-0.835)*(x-0.835)*(x-0.835)-12.892028206*(x-0.835)*(x-0.835)+0.0*(x-0.835)+0.85582035779953
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 20, 30, 0.901, 0.972, 51.0346686182*(x-0.901)*(x-0.901)*(x-0.901)-15.2816451588*(x-0.901)*(x-0.901)-0.834975783326*(x-0.901)+0.8187316656112671
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 20, 30, 0.972, 1.1, 0.70067948103
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 30, 50, -15, 0, 0.0
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 30, 50, 0, 0.075, 1.33730864525
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 30, 50, 0.075, 0.1745, 46.4350142652*(x-0.075)*(x-0.075)*(x-0.075)-14.6009560839*(x-0.075)*(x-0.075)+0.0*(x-0.075)+1.337308645248413
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 30, 50, 0.1745, 0.2245, 1532.95187296*(x-0.1745)*(x-0.1745)*(x-0.1745)-99.7070353646*(x-0.1745)*(x-0.1745)-1.52643551077*(x-0.1745)+1.2384974956512451
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 30, 50, 0.2245, 0.277, -930.687274445*(x-0.2245)*(x-0.2245)*(x-0.2245)+73.2916228625*(x-0.2245)*(x-0.2245)+0.0*(x-0.2245)+1.1045271158218384
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 30, 50, 0.277, 0.3325, 73.4803943398*(x-0.277)*(x-0.277)*(x-0.277)-13.2857902708*(x-0.277)*(x-0.277)+0.0*(x-0.277)+1.1718637943267822
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 30, 50, 0.3325, 0.391, 841.313624229*(x-0.3325)*(x-0.3325)*(x-0.3325)-67.0243409016*(x-0.3325)*(x-0.3325)-0.795708766065*(x-0.3325)+1.1435019969940186
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 30, 50, 0.391, 0.452, -170.435235665*(x-0.391)*(x-0.391)*(x-0.391)+15.5948240633*(x-0.391)*(x-0.391)+0.0*(x-0.391)+1.0360113382339478
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 30, 50, 0.452, 0.515, 89.3868291434*(x-0.452)*(x-0.452)*(x-0.452)-10.6983807614*(x-0.452)*(x-0.452)+0.0*(x-0.452)+1.055354118347168
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 30, 50, 0.515, 0.579, 55.3079363706*(x-0.515)*(x-0.515)*(x-0.515)-3.09341344374*(x-0.515)*(x-0.515)-0.283667001323*(x-0.515)+1.0352431535720825
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 30, 50, 0.579, 0.6435, -94.3593077723*(x-0.579)*(x-0.579)*(x-0.579)+11.0631793081*(x-0.579)*(x-0.579)+0.0*(x-0.579)+1.0189164876937866
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 30, 50, 0.6435, 0.709, -36.8655277293*(x-0.6435)*(x-0.6435)*(x-0.6435)+1.71764725764*(x-0.6435)*(x-0.6435)+0.24947520027*(x-0.6435)+1.0396220684051514
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 30, 50, 0.709, 0.7745, 240.352444681*(x-0.709)*(x-0.709)*(x-0.709)-29.5910491621*(x-0.709)*(x-0.709)+0.0*(x-0.709)+1.0529721975326538
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 30, 50, 0.7745, 0.8395, 140.791415898*(x-0.7745)*(x-0.7745)*(x-0.7745)-7.70476910508*(x-0.7745)*(x-0.7745)-0.782911212851*(x-0.7745)+0.9935609698295593
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 30, 50, 0.8395, 0.9045, -186.312453661*(x-0.8395)*(x-0.8395)*(x-0.8395)+18.165464232*(x-0.8395)*(x-0.8395)+0.0*(x-0.8395)+0.9487839341163635
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 30, 50, 0.9045, 0.9735, 150.258973186*(x-0.9045)*(x-0.9045)*(x-0.9045)-37.7967849104*(x-0.9045)*(x-0.9045)+0.0*(x-0.9045)+0.9743669629096985
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 30, 50, 0.9735, 1.1, 0.843777894974
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 50, 70, -15, 0, 0.0
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 50, 70, 0, 0.079, 1.3655179739
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 50, 70, 0.079, 0.186, 17.5668060082*(x-0.079)*(x-0.079)*(x-0.079)+17.6916181149*(x-0.079)*(x-0.079)-4.38937336256*(x-0.079)+1.3655179738998413
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 50, 70, 0.186, 0.243, -562.905398835*(x-0.186)*(x-0.186)*(x-0.186)+48.1284116004*(x-0.186)*(x-0.186)+0.0*(x-0.186)+1.1199264526367188
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 50, 70, 0.243, 0.3025, 229.523358661*(x-0.243)*(x-0.243)*(x-0.243)-28.1925800027*(x-0.243)*(x-0.243)+0.0*(x-0.243)+1.1720495223999023
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 50, 70, 0.3025, 0.3655, 215.37170455*(x-0.3025)*(x-0.3025)*(x-0.3025)-14.5250180953*(x-0.3025)*(x-0.3025)-0.917206808818*(x-0.3025)+1.1205886602401733
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 50, 70, 0.3655, 0.4295, 4.49434490202*(x-0.3655)*(x-0.3655)*(x-0.3655)+0.997669473406*(x-0.3655)*(x-0.3655)-0.182928202752*(x-0.3655)+1.0590078830718994
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 50, 70, 0.4295, 0.493, -421.890321608*(x-0.4295)*(x-0.4295)*(x-0.4295)+40.1850531332*(x-0.4295)*(x-0.4295)+0.0*(x-0.4295)+1.052565097808838
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 50, 70, 0.493, 0.556, 196.294279149*(x-0.493)*(x-0.493)*(x-0.493)-25.8439171668*(x-0.493)*(x-0.493)+0.0*(x-0.493)+1.1065771579742432
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 50, 70, 0.556, 0.6205, 260.942530417*(x-0.556)*(x-0.556)*(x-0.556)-18.1217124444*(x-0.556)*(x-0.556)-0.919057581183*(x-0.556)+1.053085446357727
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 50, 70, 0.6205, 0.6865, -344.37285516*(x-0.6205)*(x-0.6205)*(x-0.6205)+34.0929126608*(x-0.6205)*(x-0.6205)+0.0*(x-0.6205)+0.988435685634613
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 50, 70, 0.6865, 0.749, 306.471679688*(x-0.6865)*(x-0.6865)*(x-0.6865)-28.7317199707*(x-0.6865)*(x-0.6865)+0.0*(x-0.6865)+1.0379385948181152
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 50, 70, 0.749, 0.8085, -15.8877902671*(x-0.749)*(x-0.749)*(x-0.749)+1.41798528134*(x-0.749)*(x-0.749)+0.0*(x-0.749)+1.0005275011062622
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 50, 70, 0.8085, 0.867, 385.317330648*(x-0.8085)*(x-0.8085)*(x-0.8085)-34.1383886487*(x-0.8085)*(x-0.8085)+0.0*(x-0.8085)+1.0022008419036865
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 50, 70, 0.867, 0.9235, -11.755937006*(x-0.867)*(x-0.867)*(x-0.867)+0.990800796561*(x-0.867)*(x-0.867)-0.038234767467*(x-0.867)+0.9625118970870972
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 50, 70, 0.9235, 0.9805, 172.078590975*(x-0.9235)*(x-0.9235)*(x-0.9235)-29.849859847*(x-0.9235)*(x-0.9235)-0.0388579471776*(x-0.9235)+0.961394190788269
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 50, 70, 0.9805, 1.1, 0.894064843655
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 70, 100, -15, 0, 0.0
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 70, 100, 0, 0.0825, 1.33336687088
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 70, 100, 0.0825, 0.1975, -0.436275267702*(x-0.0825)*(x-0.0825)*(x-0.0825)+0.723936218881*(x-0.0825)*(x-0.0825)-0.837388242311*(x-0.0825)+1.333366870880127
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 70, 100, 0.1975, 0.2635, -12.1354968301*(x-0.1975)*(x-0.1975)*(x-0.1975)+1.56212766321*(x-0.1975)*(x-0.1975)-0.688192133215*(x-0.1975)+1.245977759361267
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 70, 100, 0.2635, 0.329, -71.2512517927*(x-0.2635)*(x-0.2635)*(x-0.2635)+4.62666733768*(x-0.2635)*(x-0.2635)-0.640577954247*(x-0.2635)+1.203872799873352
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 70, 100, 0.329, 0.393, 653.795269979*(x-0.329)*(x-0.329)*(x-0.329)-55.3304273084*(x-0.329)*(x-0.329)-0.951541582022*(x-0.329)+1.161742091178894
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 70, 100, 0.393, 0.4575, -1124.60577581*(x-0.393)*(x-0.393)*(x-0.393)+108.80560881*(x-0.393)*(x-0.393)+0.0*(x-0.393)+1.0455985069274902
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 70, 100, 0.4575, 0.5235, 426.73710728*(x-0.4575)*(x-0.4575)*(x-0.4575)-52.7546301193*(x-0.4575)*(x-0.4575)+0.0*(x-0.4575)+1.1964846849441528
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 70, 100, 0.5235, 0.5885, 245.323595476*(x-0.5235)*(x-0.5235)*(x-0.5235)-13.2497378066*(x-0.5235)*(x-0.5235)-1.38701065781*(x-0.5235)+1.0893707275390625
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 70, 100, 0.5885, 0.6515, -224.444155512*(x-0.5885)*(x-0.5885)*(x-0.5885)+21.2099726959*(x-0.5885)*(x-0.5885)+0.0*(x-0.5885)+1.0106068849563599
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 70, 100, 0.6515, 0.7135, 155.079049697*(x-0.6515)*(x-0.6515)*(x-0.6515)-17.2567623488*(x-0.6515)*(x-0.6515)+0.0*(x-0.6515)+1.0386676788330078
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 70, 100, 0.7135, 0.773, 58.9751226561*(x-0.7135)*(x-0.7135)*(x-0.7135)-2.31002608241*(x-0.7135)*(x-0.7135)-0.351466930143*(x-0.7135)+1.0092923641204834
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 70, 100, 0.773, 0.83, -255.46962785*(x-0.773)*(x-0.773)*(x-0.773)+21.8426531812*(x-0.773)*(x-0.773)+0.0*(x-0.773)+0.992624819278717
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 70, 100, 0.83, 0.8845, 72.2066859157*(x-0.83)*(x-0.83)*(x-0.83)-9.53803075604*(x-0.83)*(x-0.83)+0.0*(x-0.83)+1.0162804126739502
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 70, 100, 0.8845, 0.9355, -46.3110629499*(x-0.8845)*(x-0.8845)*(x-0.8845)-0.828619781201*(x-0.8845)*(x-0.8845)-0.396229625885*(x-0.8845)+0.9996387958526611
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 70, 100, 0.9355, 0.985, 118.605214615*(x-0.9355)*(x-0.9355)*(x-0.9355)-22.9925473335*(x-0.9355)*(x-0.9355)-0.842114067766*(x-0.9355)+0.9711326360702515
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 70, 100, 0.985, 1.1, 0.887495815754
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 100, 10000.0, -15, 0, 0.0
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 100, 10000.0, 0, 0.079, 1.47596371174
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 100, 10000.0, 0.079, 0.188, 8.02497538845*(x-0.079)*(x-0.079)*(x-0.079)+7.36314291089*(x-0.079)*(x-0.079)-3.72987850373*(x-0.079)+1.4759637117385864
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 100, 10000.0, 0.188, 0.25, 262.19389393*(x-0.188)*(x-0.188)*(x-0.188)-9.55597446299*(x-0.188)*(x-0.188)-1.83867915139*(x-0.188)+1.1672810316085815
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 100, 10000.0, 0.25, 0.314, -899.749466043*(x-0.25)*(x-0.25)*(x-0.25)+86.3759487402*(x-0.25)*(x-0.25)+0.0*(x-0.25)+1.0790379047393799
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 100, 10000.0, 0.314, 0.3795, 733.476521437*(x-0.314)*(x-0.314)*(x-0.314)-72.0640682311*(x-0.314)*(x-0.314)+0.0*(x-0.314)+1.1969698667526245
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 100, 10000.0, 0.3795, 0.446, -401.341155686*(x-0.3795)*(x-0.3795)*(x-0.3795)+40.0337802797*(x-0.3795)*(x-0.3795)+0.0*(x-0.3795)+1.0939122438430786
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 100, 10000.0, 0.446, 0.511, 26.6518149024*(x-0.446)*(x-0.446)*(x-0.446)-7.92967097318*(x-0.446)*(x-0.446)+0.0*(x-0.446)+1.1529253721237183
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 100, 10000.0, 0.511, 0.5745, 989.756342146*(x-0.511)*(x-0.511)*(x-0.511)-90.2142980721*(x-0.511)*(x-0.511)-0.693045472625*(x-0.511)+1.1267417669296265
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 100, 10000.0, 0.5745, 0.6395, 1.42752632657*(x-0.5745)*(x-0.5745)*(x-0.5745)+1.2256338441*(x-0.5745)*(x-0.5745)-0.177426295922*(x-0.5745)+0.9723917841911316
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 100, 10000.0, 0.6395, 0.704, -797.406335579*(x-0.6395)*(x-0.6395)*(x-0.6395)+77.1490629673*(x-0.6395)*(x-0.6395)+0.0*(x-0.6395)+0.9664294123649597
