# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
366727,1,1,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/0.00
366727,4,2,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/0,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
366727,14,3,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/0,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
366727,30,4,512.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
366727,137,3,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/0,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
366727,142,2,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/0,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
366727,201,3,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/0,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
366729,1,1,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/0.00
366729,5,2,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/0,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
366729,17,3,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/0,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
366729,27,4,512.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
366801,1,2,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/0,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
366801,7,3,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/0,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
366801,15,4,512.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
366802,1,4,512.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
366804,1,5,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/0.00
366804,11,2,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/0,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
366804,16,3,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/0,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
366804,23,4,512.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
366820,1,5,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/0.00
366820,5,6,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/0,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
366820,16,7,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/0,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
366820,48,8,512.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
366821,1,8,512.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
366829,1,6,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/0,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
366829,8,7,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/0,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
366829,19,8,512.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
366832,1,5,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/0.00
366832,3,6,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/0,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
366832,9,7,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/0,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
366832,20,8,512.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
366833,1,8,512.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
366833,3,6,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/0,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
366833,7,7,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/0,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
366833,13,8,512.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
366838,1,5,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/0.00
366838,2,6,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/0,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
366838,11,7,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/0,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
366838,21,8,512.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
366840,1,5,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/0.00
366840,2,8,512.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
366841,1,8,512.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
366850,1,5,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/0.00
366850,11,6,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/0,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
366850,22,7,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/0,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
366850,40,8,512.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/256.00
366933,1,10,0.0,HLT_BTagMu_AK4DiJet40_Mu5_v16/2,ONE,L1_DoubleJet35er2p5_Mu3_dR_Max0p4/0.00
