,# run,cmsls,totprescval,hltpath/prescval
0,378985,1,48.0,HLT_DiPFJetAve320_v21/48
1,378993,1,48.0,HLT_DiPFJetAve320_v21/48
2,378993,4,48.0,HLT_DiPFJetAve320_v21/48
3,379006,1,48.0,HLT_DiPFJetAve320_v21/48
4,379011,1,48.0,HLT_DiPFJetAve320_v21/48
5,379012,1,48.0,HLT_DiPFJetAve320_v21/48
6,379028,1,48.0,HLT_DiPFJetAve320_v21/48
7,379031,1,48.0,HLT_DiPFJetAve320_v21/48
8,379058,1,48.0,HLT_DiPFJetAve320_v21/48
9,379075,1,48.0,HLT_DiPFJetAve320_v21/48
10,379075,5,48.0,HLT_DiPFJetAve320_v21/48
11,379154,1,48.0,HLT_DiPFJetAve320_v21/48
12,379154,15,48.0,HLT_DiPFJetAve320_v21/48
13,379238,1,48.0,HLT_DiPFJetAve320_v21/48
14,379243,1,48.0,HLT_DiPFJetAve320_v21/48
15,379252,1,48.0,HLT_DiPFJetAve320_v21/48
16,379253,1,48.0,HLT_DiPFJetAve320_v21/48
17,379338,1,48.0,HLT_DiPFJetAve320_v21/48
18,379355,1,48.0,HLT_DiPFJetAve320_v21/48
19,379416,1,48.0,HLT_DiPFJetAve320_v21/48
20,379416,6,48.0,HLT_DiPFJetAve320_v21/48
21,379416,154,48.0,HLT_DiPFJetAve320_v21/48
22,379420,1,48.0,HLT_DiPFJetAve320_v21/48
23,379420,2,48.0,HLT_DiPFJetAve320_v21/48
24,379425,1,48.0,HLT_DiPFJetAve320_v21/48
25,379433,1,48.0,HLT_DiPFJetAve320_v21/48
26,379433,5,48.0,HLT_DiPFJetAve320_v21/48
27,379442,1,48.0,HLT_DiPFJetAve320_v21/48
28,379442,9,48.0,HLT_DiPFJetAve320_v21/48
29,379454,1,48.0,HLT_DiPFJetAve320_v21/48
30,379454,2,48.0,HLT_DiPFJetAve320_v21/48
31,379456,1,48.0,HLT_DiPFJetAve320_v21/48
32,379470,1,48.0,HLT_DiPFJetAve320_v21/48
33,379470,8,48.0,HLT_DiPFJetAve320_v21/48
34,379530,1,48.0,HLT_DiPFJetAve320_v21/48
35,379530,451,48.0,HLT_DiPFJetAve320_v21/48
36,379530,483,48.0,HLT_DiPFJetAve320_v21/48
37,379530,610,48.0,HLT_DiPFJetAve320_v21/48
38,379530,622,48.0,HLT_DiPFJetAve320_v21/48
39,379613,1,48.0,HLT_DiPFJetAve320_v22/48
40,379617,1,48.0,HLT_DiPFJetAve320_v22/48
41,379618,1,48.0,HLT_DiPFJetAve320_v21/48
42,379660,1,48.0,HLT_DiPFJetAve320_v21/48
43,379660,10,48.0,HLT_DiPFJetAve320_v21/48
44,379660,639,48.0,HLT_DiPFJetAve320_v21/48
45,379661,1,48.0,HLT_DiPFJetAve320_v21/48
46,379729,1,48.0,HLT_DiPFJetAve320_v21/48
47,379729,689,48.0,HLT_DiPFJetAve320_v21/48
48,379765,1,48.0,HLT_DiPFJetAve320_v21/48
49,379765,829,48.0,HLT_DiPFJetAve320_v21/48
50,379774,1,48.0,HLT_DiPFJetAve320_v21/48
51,379866,1,48.0,HLT_DiPFJetAve320_v21/48
52,379866,156,48.0,HLT_DiPFJetAve320_v21/48
53,379866,187,48.0,HLT_DiPFJetAve320_v21/48
54,379984,1,48.0,HLT_DiPFJetAve320_v21/48
55,379984,20,48.0,HLT_DiPFJetAve320_v21/48
56,379984,135,48.0,HLT_DiPFJetAve320_v21/48
57,379984,456,48.0,HLT_DiPFJetAve320_v21/48
58,380001,1,48.0,HLT_DiPFJetAve320_v21/48
59,380001,4,48.0,HLT_DiPFJetAve320_v21/48
60,380005,1,48.0,HLT_DiPFJetAve320_v21/48
61,380005,4,48.0,HLT_DiPFJetAve320_v21/48
62,380007,1,48.0,HLT_DiPFJetAve320_v21/48
63,380029,1,48.0,HLT_DiPFJetAve320_v21/48
64,380030,1,48.0,HLT_DiPFJetAve320_v21/48
65,380030,17,48.0,HLT_DiPFJetAve320_v21/48
66,380030,99,48.0,HLT_DiPFJetAve320_v21/48
67,380030,127,48.0,HLT_DiPFJetAve320_v21/48
68,380032,1,48.0,HLT_DiPFJetAve320_v21/48
69,380033,1,48.0,HLT_DiPFJetAve320_v21/48
70,380043,1,48.0,HLT_DiPFJetAve320_v21/48
71,380043,3,48.0,HLT_DiPFJetAve320_v21/48
72,380049,1,48.0,HLT_DiPFJetAve320_v21/48
73,380049,7,48.0,HLT_DiPFJetAve320_v21/48
74,380051,1,48.0,HLT_DiPFJetAve320_v21/48
75,380052,1,48.0,HLT_DiPFJetAve320_v21/48
76,380053,1,48.0,HLT_DiPFJetAve320_v21/48
77,380056,1,48.0,HLT_DiPFJetAve320_v21/48
78,380066,1,48.0,HLT_DiPFJetAve320_v21/48
79,380074,1,48.0,HLT_DiPFJetAve320_v21/48
80,380074,9,48.0,HLT_DiPFJetAve320_v21/48
81,380115,1,48.0,HLT_DiPFJetAve320_v21/48
82,380115,337,48.0,HLT_DiPFJetAve320_v21/48
83,380115,378,48.0,HLT_DiPFJetAve320_v21/48
84,380115,578,48.0,HLT_DiPFJetAve320_v21/48
85,380195,1,48.0,HLT_DiPFJetAve320_v21/48
86,380197,1,48.0,HLT_DiPFJetAve320_v21/48
87,380235,1,48.0,HLT_DiPFJetAve320_v21/48
88,380235,3,48.0,HLT_DiPFJetAve320_v21/48
89,380236,1,48.0,HLT_DiPFJetAve320_v21/48
90,380238,1,48.0,HLT_DiPFJetAve320_v21/48
91,380306,1,48.0,HLT_DiPFJetAve320_v22/48
92,380306,3,48.0,HLT_DiPFJetAve320_v22/48
93,380308,1,48.0,HLT_DiPFJetAve320_v22/48
94,380309,1,48.0,HLT_DiPFJetAve320_v22/48
95,380309,7,48.0,HLT_DiPFJetAve320_v22/48
96,380310,1,48.0,HLT_DiPFJetAve320_v22/48
97,380346,1,48.0,HLT_DiPFJetAve320_v22/48
98,380346,155,48.0,HLT_DiPFJetAve320_v22/48
99,380346,175,48.0,HLT_DiPFJetAve320_v22/48
100,380346,187,48.0,HLT_DiPFJetAve320_v22/48
101,380348,1,48.0,HLT_DiPFJetAve320_v22/48
102,380348,6,48.0,HLT_DiPFJetAve320_v22/48
103,380349,1,48.0,HLT_DiPFJetAve320_v22/48
104,380360,1,48.0,HLT_DiPFJetAve320_v22/48
105,380377,1,48.0,HLT_DiPFJetAve320_v22/48
106,380377,3,48.0,HLT_DiPFJetAve320_v22/48
107,380377,110,48.0,HLT_DiPFJetAve320_v22/48
108,380384,1,48.0,HLT_DiPFJetAve320_v22/48
109,380384,146,48.0,HLT_DiPFJetAve320_v22/48
110,380384,680,48.0,HLT_DiPFJetAve320_v22/48
111,380385,1,48.0,HLT_DiPFJetAve320_v22/48
112,380399,1,48.0,HLT_DiPFJetAve320_v22/48
113,380399,3,48.0,HLT_DiPFJetAve320_v22/48
114,380403,1,48.0,HLT_DiPFJetAve320_v22/48
115,380403,3,48.0,HLT_DiPFJetAve320_v22/48
116,380444,1,48.0,HLT_DiPFJetAve320_v22/48
117,380444,6,48.0,HLT_DiPFJetAve320_v22/48
118,380446,1,48.0,HLT_DiPFJetAve320_v22/48
119,380447,1,48.0,HLT_DiPFJetAve320_v22/48
120,380466,1,48.0,HLT_DiPFJetAve320_v22/48
121,380466,3,48.0,HLT_DiPFJetAve320_v22/48
122,380470,1,48.0,HLT_DiPFJetAve320_v22/48
123,380470,15,48.0,HLT_DiPFJetAve320_v22/48
124,380481,1,48.0,HLT_DiPFJetAve320_v22/48
125,380513,1,48.0,HLT_DiPFJetAve320_v22/48
126,380513,5,48.0,HLT_DiPFJetAve320_v22/48
127,380517,1,48.0,HLT_DiPFJetAve320_v22/48
128,380531,1,48.0,HLT_DiPFJetAve320_v22/48
129,380534,1,48.0,HLT_DiPFJetAve320_v22/48
130,380537,1,48.0,HLT_DiPFJetAve320_v22/48
131,380538,1,48.0,HLT_DiPFJetAve320_v22/48
132,380564,1,48.0,HLT_DiPFJetAve320_v22/48
133,380564,2,48.0,HLT_DiPFJetAve320_v22/48
134,380567,1,48.0,HLT_DiPFJetAve320_v22/48
135,380623,1,48.0,HLT_DiPFJetAve320_v22/48
136,380623,4,48.0,HLT_DiPFJetAve320_v22/48
137,380624,1,48.0,HLT_DiPFJetAve320_v22/48
138,380625,1,48.0,HLT_DiPFJetAve320_v22/48
