,# run,cmsls,totprescval,hltpath/prescval
0,378981,1,16.0,HLT_DiPFJetAve400_v21/16
1,378981,4,16.0,HLT_DiPFJetAve400_v21/16
2,378985,1,16.0,HLT_DiPFJetAve400_v21/16
3,378993,1,16.0,HLT_DiPFJetAve400_v21/16
4,378993,4,16.0,HLT_DiPFJetAve400_v21/16
5,378994,1,16.0,HLT_DiPFJetAve400_v21/16
6,378995,1,16.0,HLT_DiPFJetAve400_v21/16
7,378996,1,16.0,HLT_DiPFJetAve400_v21/16
8,378997,1,16.0,HLT_DiPFJetAve400_v21/16
9,378998,1,16.0,HLT_DiPFJetAve400_v21/16
10,378999,1,16.0,HLT_DiPFJetAve400_v21/16
11,379000,1,16.0,HLT_DiPFJetAve400_v21/16
12,379001,1,16.0,HLT_DiPFJetAve400_v21/16
13,379002,1,16.0,HLT_DiPFJetAve400_v21/16
14,379003,1,16.0,HLT_DiPFJetAve400_v21/16
15,379004,1,16.0,HLT_DiPFJetAve400_v21/16
16,379005,1,16.0,HLT_DiPFJetAve400_v21/16
17,379006,1,16.0,HLT_DiPFJetAve400_v21/16
18,379007,1,16.0,HLT_DiPFJetAve400_v21/16
19,379008,1,16.0,HLT_DiPFJetAve400_v21/16
20,379009,1,16.0,HLT_DiPFJetAve400_v21/16
21,379010,1,16.0,HLT_DiPFJetAve400_v21/16
22,379011,1,16.0,HLT_DiPFJetAve400_v21/16
23,379012,1,16.0,HLT_DiPFJetAve400_v21/16
24,379028,1,16.0,HLT_DiPFJetAve400_v21/16
25,379029,1,16.0,HLT_DiPFJetAve400_v21/16
26,379030,1,1.0,HLT_DiPFJetAve400_v21/1
27,379030,3,1.0,HLT_DiPFJetAve400_v21/1
28,379031,1,16.0,HLT_DiPFJetAve400_v21/16
29,379058,1,16.0,HLT_DiPFJetAve400_v21/16
30,379075,1,16.0,HLT_DiPFJetAve400_v21/16
31,379075,5,16.0,HLT_DiPFJetAve400_v21/16
32,379154,1,16.0,HLT_DiPFJetAve400_v21/16
33,379154,15,16.0,HLT_DiPFJetAve400_v21/16
34,379238,1,16.0,HLT_DiPFJetAve400_v21/16
35,379243,1,16.0,HLT_DiPFJetAve400_v21/16
36,379252,1,16.0,HLT_DiPFJetAve400_v21/16
37,379253,1,16.0,HLT_DiPFJetAve400_v21/16
38,379315,1,0.0,HLT_DiPFJetAve400_v21/16
39,379316,1,0.0,HLT_DiPFJetAve400_v21/16
40,379317,1,0.0,HLT_DiPFJetAve400_v21/16
41,379318,1,0.0,HLT_DiPFJetAve400_v21/16
42,379337,1,16.0,HLT_DiPFJetAve400_v21/16
43,379337,20,0.0,HLT_DiPFJetAve400_v21/16
44,379338,1,16.0,HLT_DiPFJetAve400_v21/16
45,379349,1,16.0,HLT_DiPFJetAve400_v21/16
46,379349,4,16.0,HLT_DiPFJetAve400_v21/16
47,379350,1,16.0,HLT_DiPFJetAve400_v21/16
48,379355,1,16.0,HLT_DiPFJetAve400_v21/16
49,379415,1,16.0,HLT_DiPFJetAve400_v21/16
50,379416,1,16.0,HLT_DiPFJetAve400_v21/16
51,379416,6,16.0,HLT_DiPFJetAve400_v21/16
52,379416,154,16.0,HLT_DiPFJetAve400_v21/16
53,379420,1,16.0,HLT_DiPFJetAve400_v21/16
54,379420,2,16.0,HLT_DiPFJetAve400_v21/16
55,379425,1,16.0,HLT_DiPFJetAve400_v21/16
56,379433,1,16.0,HLT_DiPFJetAve400_v21/16
57,379433,5,16.0,HLT_DiPFJetAve400_v21/16
