,# run,cmsls,totprescval,hltpath/prescval
0,391668,1,0.0,HLT_PFJet500_v34/0
1,391668,7,1.0,HLT_PFJet500_v34/1
2,391688,1,1.0,HLT_PFJet500_v34/1
3,391698,1,0.0,HLT_PFJet500_v34/0
4,391698,2,1.0,HLT_PFJet500_v34/1
5,391699,1,1.0,HLT_PFJet500_v34/1
6,391700,1,1.0,HLT_PFJet500_v34/1
7,391825,1,1.0,HLT_PFJet500_v34/1
8,391826,1,1.0,HLT_PFJet500_v34/1
9,391869,1,0.0,HLT_PFJet500_v34/0
10,391869,23,1.0,HLT_PFJet500_v34/1
11,391870,1,1.0,HLT_PFJet500_v34/1
12,391871,1,1.0,HLT_PFJet500_v34/1
13,391873,1,1.0,HLT_PFJet500_v34/1
14,391874,1,1.0,HLT_PFJet500_v34/1
15,391884,1,0.0,HLT_PFJet500_v34/0
16,391884,6,1.0,HLT_PFJet500_v34/1
17,391906,1,0.0,HLT_PFJet500_v34/0
18,391906,3,1.0,HLT_PFJet500_v34/1
19,391906,31,1.0,HLT_PFJet500_v34/1
20,391906,57,1.0,HLT_PFJet500_v34/1
21,391909,1,1.0,HLT_PFJet500_v34/1
22,391910,1,1.0,HLT_PFJet500_v34/1
23,391912,1,0.0,HLT_PFJet500_v34/0
24,391912,5,1.0,HLT_PFJet500_v34/1
25,392030,1,1.0,HLT_PFJet500_v34/1
26,392030,43,1.0,HLT_PFJet500_v34/1
27,392046,1,1.0,HLT_PFJet500_v34/1
28,392052,1,1.0,HLT_PFJet500_v34/1
29,392067,1,1.0,HLT_PFJet500_v34/1
30,392071,1,1.0,HLT_PFJet500_v34/1
31,392109,1,1.0,HLT_PFJet500_v34/1
32,392109,103,1.0,HLT_PFJet500_v34/1
33,392109,108,1.0,HLT_PFJet500_v34/1
34,392109,113,1.0,HLT_PFJet500_v34/1
35,392109,118,1.0,HLT_PFJet500_v34/1
36,392112,1,1.0,HLT_PFJet500_v34/1
37,392112,2,1.0,HLT_PFJet500_v34/1
38,392293,1,1.0,HLT_PFJet500_v35/1
39,392294,1,1.0,HLT_PFJet500_v35/1
40,392294,5,1.0,HLT_PFJet500_v35/1
41,392295,1,1.0,HLT_PFJet500_v35/1
42,392295,48,1.0,HLT_PFJet500_v35/1
43,392295,526,1.0,HLT_PFJet500_v35/1
44,392295,537,1.0,HLT_PFJet500_v35/1
45,392295,548,1.0,HLT_PFJet500_v35/1
46,392295,558,1.0,HLT_PFJet500_v35/1
47,392295,567,1.0,HLT_PFJet500_v35/1
48,392295,576,1.0,HLT_PFJet500_v35/1
49,392295,584,1.0,HLT_PFJet500_v35/1
50,392296,1,1.0,HLT_PFJet500_v35/1
51,392296,865,1.0,HLT_PFJet500_v35/1
52,392301,1,1.0,HLT_PFJet500_v35/1
53,392301,5,1.0,HLT_PFJet500_v35/1
54,392301,57,1.0,HLT_PFJet500_v35/1
55,392301,152,1.0,HLT_PFJet500_v35/1
56,392358,1,1.0,HLT_PFJet500_v35/1
57,392358,2,1.0,HLT_PFJet500_v35/1
58,392358,41,1.0,HLT_PFJet500_v35/1
59,392358,82,1.0,HLT_PFJet500_v35/1
60,392359,1,1.0,HLT_PFJet500_v35/1
61,392360,1,1.0,HLT_PFJet500_v35/1
62,392361,1,1.0,HLT_PFJet500_v35/1
63,392361,253,1.0,HLT_PFJet500_v35/1
64,392361,264,1.0,HLT_PFJet500_v35/1
65,392361,278,1.0,HLT_PFJet500_v35/1
66,392361,286,1.0,HLT_PFJet500_v35/1
67,392362,1,1.0,HLT_PFJet500_v35/1
68,392363,1,1.0,HLT_PFJet500_v35/1
69,392363,17,1.0,HLT_PFJet500_v35/1
70,392363,26,1.0,HLT_PFJet500_v35/1
71,392363,33,1.0,HLT_PFJet500_v35/1
72,392363,952,1.0,HLT_PFJet500_v35/1
73,392382,1,1.0,HLT_PFJet500_v35/1
74,392382,5,1.0,HLT_PFJet500_v35/1
75,392382,14,1.0,HLT_PFJet500_v35/1
76,392382,19,1.0,HLT_PFJet500_v35/1
77,392382,78,1.0,HLT_PFJet500_v35/1
78,392431,1,1.0,HLT_PFJet500_v35/1
79,392431,19,1.0,HLT_PFJet500_v35/1
80,392431,91,1.0,HLT_PFJet500_v35/1
81,392431,131,1.0,HLT_PFJet500_v35/1
82,392431,141,1.0,HLT_PFJet500_v35/1
83,392432,1,1.0,HLT_PFJet500_v35/1
84,392440,1,1.0,HLT_PFJet500_v35/1
85,392440,195,1.0,HLT_PFJet500_v35/1
86,392440,204,1.0,HLT_PFJet500_v35/1
87,392441,1,1.0,HLT_PFJet500_v35/1
88,392442,1,1.0,HLT_PFJet500_v35/1
89,392442,286,1.0,HLT_PFJet500_v35/1
90,392442,556,1.0,HLT_PFJet500_v35/1
91,392473,1,1.0,HLT_PFJet500_v35/1
92,392473,69,1.0,HLT_PFJet500_v35/1
93,392473,129,1.0,HLT_PFJet500_v35/1
94,392476,1,1.0,HLT_PFJet500_v35/1
95,392477,1,1.0,HLT_PFJet500_v35/1
96,392517,1,1.0,HLT_PFJet500_v35/1
97,392517,32,1.0,HLT_PFJet500_v35/1
98,392524,1,1.0,HLT_PFJet500_v35/1
99,392524,16,1.0,HLT_PFJet500_v35/1
100,392524,60,1.0,HLT_PFJet500_v35/1
101,392524,130,1.0,HLT_PFJet500_v35/1
102,392526,1,1.0,HLT_PFJet500_v35/1
103,392526,685,1.0,HLT_PFJet500_v35/1
104,392526,795,1.0,HLT_PFJet500_v35/1
105,392526,924,1.0,HLT_PFJet500_v35/1
106,392526,1014,1.0,HLT_PFJet500_v35/1
107,392526,1168,1.0,HLT_PFJet500_v35/1
108,392538,1,1.0,HLT_PFJet500_v35/1
109,392538,20,1.0,HLT_PFJet500_v35/1
110,392538,67,1.0,HLT_PFJet500_v35/1
111,392538,111,1.0,HLT_PFJet500_v35/1
112,392540,1,1.0,HLT_PFJet500_v35/1
113,392541,1,1.0,HLT_PFJet500_v35/1
114,392542,1,1.0,HLT_PFJet500_v35/1
115,392542,491,1.0,HLT_PFJet500_v35/1
116,392542,626,1.0,HLT_PFJet500_v35/1
117,392542,733,1.0,HLT_PFJet500_v35/1
118,392542,773,1.0,HLT_PFJet500_v35/1
119,392542,827,1.0,HLT_PFJet500_v35/1
120,392542,935,1.0,HLT_PFJet500_v35/1
121,392542,1095,1.0,HLT_PFJet500_v35/1
122,392633,1,1.0,HLT_PFJet500_v35/1
123,392633,3,1.0,HLT_PFJet500_v35/1
124,392634,1,1.0,HLT_PFJet500_v35/1
125,392635,1,1.0,HLT_PFJet500_v35/1
126,392642,1,1.0,HLT_PFJet500_v35/1
127,392642,4,1.0,HLT_PFJet500_v35/1
128,392642,174,1.0,HLT_PFJet500_v35/1
129,392642,188,1.0,HLT_PFJet500_v35/1
130,392642,1249,1.0,HLT_PFJet500_v35/1
131,392642,1499,1.0,HLT_PFJet500_v35/1
132,392642,1508,1.0,HLT_PFJet500_v35/1
133,392642,1538,1.0,HLT_PFJet500_v35/1
134,392642,1704,1.0,HLT_PFJet500_v35/1
135,392668,1,1.0,HLT_PFJet500_v35/1
136,392668,105,1.0,HLT_PFJet500_v35/1
137,392668,111,1.0,HLT_PFJet500_v35/1
138,392668,135,1.0,HLT_PFJet500_v35/1
139,392669,1,1.0,HLT_PFJet500_v35/1
140,392669,5,1.0,HLT_PFJet500_v35/1
141,392669,7,1.0,HLT_PFJet500_v35/1
