,# run,cmsls,totprescval,hltpath/prescval
0,378981,1,5788.0,HLT_PFJet60_v28/4
1,378981,4,28.0,HLT_PFJet60_v28/4
2,378985,1,28.0,HLT_PFJet60_v28/4
3,378993,1,5788.0,HLT_PFJet60_v28/4
4,378993,4,124.0,HLT_PFJet60_v28/4
5,378994,1,124.0,HLT_PFJet60_v28/4
6,378995,1,124.0,HLT_PFJet60_v28/4
7,378996,1,124.0,HLT_PFJet60_v28/4
8,378997,1,124.0,HLT_PFJet60_v28/4
9,378998,1,124.0,HLT_PFJet60_v28/4
10,378999,1,124.0,HLT_PFJet60_v28/4
11,379000,1,124.0,HLT_PFJet60_v28/4
12,379001,1,124.0,HLT_PFJet60_v28/4
13,379002,1,124.0,HLT_PFJet60_v28/4
14,379003,1,124.0,HLT_PFJet60_v28/4
15,379004,1,124.0,HLT_PFJet60_v28/4
16,379005,1,124.0,HLT_PFJet60_v28/4
17,379006,1,124.0,HLT_PFJet60_v28/4
18,379007,1,124.0,HLT_PFJet60_v28/4
19,379008,1,124.0,HLT_PFJet60_v28/4
20,379009,1,124.0,HLT_PFJet60_v28/4
21,379010,1,124.0,HLT_PFJet60_v28/4
22,379011,1,124.0,HLT_PFJet60_v28/4
23,379012,1,124.0,HLT_PFJet60_v28/4
24,379028,1,124.0,HLT_PFJet60_v28/4
25,379029,1,124.0,HLT_PFJet60_v28/4
26,379030,1,1447.0,HLT_PFJet60_v28/1
27,379030,3,31.0,HLT_PFJet60_v28/1
28,379031,1,124.0,HLT_PFJet60_v28/4
29,379058,1,932.0,HLT_PFJet60_v28/4
30,379075,1,5788.0,HLT_PFJet60_v28/4
31,379075,5,932.0,HLT_PFJet60_v28/4
32,379154,1,5788.0,HLT_PFJet60_v28/4
33,379154,15,932.0,HLT_PFJet60_v28/4
34,379238,1,5788.0,HLT_PFJet60_v28/4
35,379243,1,5788.0,HLT_PFJet60_v28/4
36,379252,1,5788.0,HLT_PFJet60_v28/4
37,379253,1,5788.0,HLT_PFJet60_v28/4
38,379315,1,5788.0,HLT_PFJet60_v28/4
39,379316,1,5788.0,HLT_PFJet60_v28/4
40,379317,1,5788.0,HLT_PFJet60_v28/4
41,379318,1,5788.0,HLT_PFJet60_v28/4
42,379337,1,5788.0,HLT_PFJet60_v28/4
43,379337,20,5788.0,HLT_PFJet60_v28/4
44,379338,1,5788.0,HLT_PFJet60_v28/4
45,379349,1,5788.0,HLT_PFJet60_v28/4
46,379349,4,12268.0,HLT_PFJet60_v28/4
47,379350,1,12268.0,HLT_PFJet60_v28/4
48,379355,1,12268.0,HLT_PFJet60_v28/4
49,379415,1,35996.0,HLT_PFJet60_v28/4
50,379416,1,35996.0,HLT_PFJet60_v28/4
51,379416,6,35996.0,HLT_PFJet60_v28/4
52,379416,154,35996.0,HLT_PFJet60_v28/4
53,379420,1,35996.0,HLT_PFJet60_v28/4
54,379420,2,35996.0,HLT_PFJet60_v28/4
55,379425,1,35996.0,HLT_PFJet60_v28/4
56,379433,1,35996.0,HLT_PFJet60_v28/4
57,379433,5,35996.0,HLT_PFJet60_v28/4
58,379442,1,35996.0,HLT_PFJet60_v28/4
59,379442,9,35996.0,HLT_PFJet60_v28/4
60,379454,1,35996.0,HLT_PFJet60_v28/4
61,379454,2,35996.0,HLT_PFJet60_v28/4
62,379456,1,35996.0,HLT_PFJet60_v28/4
63,379470,1,35996.0,HLT_PFJet60_v28/4
64,379470,8,35996.0,HLT_PFJet60_v28/4
65,379530,1,53164.0,HLT_PFJet60_v28/4
66,379530,451,53164.0,HLT_PFJet60_v28/4
67,379530,483,53164.0,HLT_PFJet60_v28/4
68,379530,610,53164.0,HLT_PFJet60_v28/4
69,379530,622,53164.0,HLT_PFJet60_v28/4
70,379613,1,53164.0,HLT_PFJet60_v29/4
71,379614,1,53164.0,HLT_PFJet60_v29/4
72,379615,1,53164.0,HLT_PFJet60_v29/4
73,379616,1,53164.0,HLT_PFJet60_v29/4
74,379617,1,53164.0,HLT_PFJet60_v29/4
75,379618,1,53164.0,HLT_PFJet60_v28/4
76,379660,1,53324.0,HLT_PFJet60_v28/4
77,379660,10,53324.0,HLT_PFJet60_v28/4
78,379660,639,53324.0,HLT_PFJet60_v28/4
79,379661,1,53324.0,HLT_PFJet60_v28/4
80,379729,1,59084.0,HLT_PFJet60_v28/4
81,379729,689,59084.0,HLT_PFJet60_v28/4
82,379765,1,59084.0,HLT_PFJet60_v28/4
83,379765,829,59084.0,HLT_PFJet60_v28/4
84,379766,1,14771.0,HLT_PFJet60_v28/1
85,379774,1,59084.0,HLT_PFJet60_v28/4
86,379866,1,36044.0,HLT_PFJet60_v28/4
87,379866,156,36044.0,HLT_PFJet60_v28/4
88,379866,187,36044.0,HLT_PFJet60_v28/4
89,379984,1,42236.0,HLT_PFJet60_v28/4
90,379984,20,42236.0,HLT_PFJet60_v28/4
91,379984,135,42236.0,HLT_PFJet60_v28/4
92,379984,456,42236.0,HLT_PFJet60_v28/4
93,380001,1,58364.0,HLT_PFJet60_v28/4
94,380001,4,58364.0,HLT_PFJet60_v28/4
95,380005,1,58364.0,HLT_PFJet60_v28/4
96,380005,4,58364.0,HLT_PFJet60_v28/4
97,380006,1,58364.0,HLT_PFJet60_v28/4
98,380007,1,58364.0,HLT_PFJet60_v28/4
99,380029,1,65924.0,HLT_PFJet60_v28/4
100,380030,1,65924.0,HLT_PFJet60_v28/4
101,380030,17,65924.0,HLT_PFJet60_v28/4
102,380030,99,65924.0,HLT_PFJet60_v28/4
103,380030,127,65924.0,HLT_PFJet60_v28/4
104,380032,1,65924.0,HLT_PFJet60_v28/4
105,380033,1,65924.0,HLT_PFJet60_v28/4
106,380043,1,65924.0,HLT_PFJet60_v28/4
107,380043,3,65924.0,HLT_PFJet60_v28/4
108,380049,1,65924.0,HLT_PFJet60_v28/4
109,380049,7,65924.0,HLT_PFJet60_v28/4
110,380050,1,65924.0,HLT_PFJet60_v28/4
111,380051,1,65924.0,HLT_PFJet60_v28/4
112,380052,1,65924.0,HLT_PFJet60_v28/4
113,380053,1,65924.0,HLT_PFJet60_v28/4
114,380056,1,65924.0,HLT_PFJet60_v28/4
115,380066,1,65924.0,HLT_PFJet60_v28/4
116,380074,1,65924.0,HLT_PFJet60_v28/4
117,380074,9,65924.0,HLT_PFJet60_v28/4
118,380115,1,70204.0,HLT_PFJet60_v28/4
119,380115,337,70204.0,HLT_PFJet60_v28/4
120,380115,378,70204.0,HLT_PFJet60_v28/4
121,380115,578,70204.0,HLT_PFJet60_v28/4
122,380195,1,70204.0,HLT_PFJet60_v28/4
123,380196,1,70204.0,HLT_PFJet60_v28/4
124,380197,1,70204.0,HLT_PFJet60_v28/4
