,# run,cmsls,totprescval,hltpath/prescval
0,378981,1,18000.0,HLT_Photon20_HoverELoose_v17/2
1,378981,4,18000.0,HLT_Photon20_HoverELoose_v17/2
2,378985,1,18000.0,HLT_Photon20_HoverELoose_v17/2
3,378993,1,18000.0,HLT_Photon20_HoverELoose_v17/2
4,378993,4,18000.0,HLT_Photon20_HoverELoose_v17/2
5,378994,1,18000.0,HLT_Photon20_HoverELoose_v17/2
6,378995,1,18000.0,HLT_Photon20_HoverELoose_v17/2
7,378996,1,18000.0,HLT_Photon20_HoverELoose_v17/2
8,378997,1,18000.0,HLT_Photon20_HoverELoose_v17/2
9,378998,1,18000.0,HLT_Photon20_HoverELoose_v17/2
10,378999,1,18000.0,HLT_Photon20_HoverELoose_v17/2
11,379000,1,18000.0,HLT_Photon20_HoverELoose_v17/2
12,379001,1,18000.0,HLT_Photon20_HoverELoose_v17/2
13,379002,1,18000.0,HLT_Photon20_HoverELoose_v17/2
14,379003,1,18000.0,HLT_Photon20_HoverELoose_v17/2
15,379004,1,18000.0,HLT_Photon20_HoverELoose_v17/2
16,379005,1,18000.0,HLT_Photon20_HoverELoose_v17/2
17,379006,1,18000.0,HLT_Photon20_HoverELoose_v17/2
18,379007,1,18000.0,HLT_Photon20_HoverELoose_v17/2
19,379008,1,18000.0,HLT_Photon20_HoverELoose_v17/2
20,379009,1,18000.0,HLT_Photon20_HoverELoose_v17/2
21,379010,1,18000.0,HLT_Photon20_HoverELoose_v17/2
22,379011,1,18000.0,HLT_Photon20_HoverELoose_v17/2
23,379012,1,18000.0,HLT_Photon20_HoverELoose_v17/2
24,379028,1,18000.0,HLT_Photon20_HoverELoose_v17/2
25,379029,1,18000.0,HLT_Photon20_HoverELoose_v17/2
26,379030,1,9000.0,HLT_Photon20_HoverELoose_v17/1
27,379030,3,9000.0,HLT_Photon20_HoverELoose_v17/1
28,379031,1,18000.0,HLT_Photon20_HoverELoose_v17/2
29,379058,1,18000.0,HLT_Photon20_HoverELoose_v17/2
30,379075,1,18000.0,HLT_Photon20_HoverELoose_v17/2
31,379075,5,18000.0,HLT_Photon20_HoverELoose_v17/2
32,379154,1,18000.0,HLT_Photon20_HoverELoose_v17/2
33,379154,15,18000.0,HLT_Photon20_HoverELoose_v17/2
34,379238,1,18000.0,HLT_Photon20_HoverELoose_v17/2
35,379243,1,18000.0,HLT_Photon20_HoverELoose_v17/2
36,379252,1,18000.0,HLT_Photon20_HoverELoose_v17/2
37,379253,1,18000.0,HLT_Photon20_HoverELoose_v17/2
38,379315,1,0.0,HLT_Photon20_HoverELoose_v17/2
39,379316,1,0.0,HLT_Photon20_HoverELoose_v17/2
40,379317,1,0.0,HLT_Photon20_HoverELoose_v17/2
41,379318,1,0.0,HLT_Photon20_HoverELoose_v17/2
42,379337,1,18000.0,HLT_Photon20_HoverELoose_v17/2
43,379337,20,0.0,HLT_Photon20_HoverELoose_v17/2
44,379338,1,18000.0,HLT_Photon20_HoverELoose_v17/2
45,379349,1,18000.0,HLT_Photon20_HoverELoose_v17/2
46,379349,4,18000.0,HLT_Photon20_HoverELoose_v17/2
47,379350,1,18000.0,HLT_Photon20_HoverELoose_v17/2
48,379355,1,18000.0,HLT_Photon20_HoverELoose_v17/2
49,379415,1,18000.0,HLT_Photon20_HoverELoose_v17/2
50,379416,1,18000.0,HLT_Photon20_HoverELoose_v17/2
51,379416,6,18000.0,HLT_Photon20_HoverELoose_v17/2
