,# run,cmsls,totprescval,hltpath/prescval
0,378981,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
1,378981,4,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
2,378985,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
3,378993,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
4,378993,4,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
5,378994,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
6,378995,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
7,378996,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
8,378997,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
9,378998,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
10,378999,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
11,379000,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
12,379001,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
13,379002,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
14,379003,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
15,379004,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
16,379005,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
17,379006,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
18,379007,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
19,379008,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
20,379009,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
21,379010,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
22,379011,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
23,379012,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
24,379028,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
25,379029,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
26,379030,1,25.0,HLT_Photon30EB_TightID_TightIso_v8/1
27,379030,3,25.0,HLT_Photon30EB_TightID_TightIso_v8/1
28,379031,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
29,379058,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
30,379075,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
31,379075,5,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
32,379154,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
33,379154,15,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
34,379238,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
35,379243,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
36,379252,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
37,379253,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
38,379315,1,0.0,HLT_Photon30EB_TightID_TightIso_v8/6
39,379316,1,0.0,HLT_Photon30EB_TightID_TightIso_v8/6
40,379317,1,0.0,HLT_Photon30EB_TightID_TightIso_v8/6
41,379318,1,0.0,HLT_Photon30EB_TightID_TightIso_v8/6
42,379337,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
43,379337,20,0.0,HLT_Photon30EB_TightID_TightIso_v8/6
44,379338,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
45,379349,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
46,379349,4,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
47,379350,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
48,379355,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
49,379415,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
50,379416,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
51,379416,6,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
52,379416,154,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
53,379420,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
54,379420,2,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
55,379425,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
56,379433,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
57,379433,5,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
58,379442,1,150.0,HLT_Photon30EB_TightID_TightIso_v8/6
