,# run,cmsls,totprescval,hltpath/prescval
0,378985,1,420.0,HLT_ZeroBias_v10/60
1,378993,1,86820.0,HLT_ZeroBias_v10/60
2,378993,4,1860.0,HLT_ZeroBias_v10/60
3,379006,1,1860.0,HLT_ZeroBias_v10/60
4,379011,1,1860.0,HLT_ZeroBias_v10/60
5,379012,1,1860.0,HLT_ZeroBias_v10/60
6,379028,1,1860.0,HLT_ZeroBias_v10/60
7,379031,1,1860.0,HLT_ZeroBias_v10/60
8,379058,1,13980.0,HLT_ZeroBias_v10/60
9,379075,1,86820.0,HLT_ZeroBias_v10/60
10,379075,5,13980.0,HLT_ZeroBias_v10/60
11,379154,1,86820.0,HLT_ZeroBias_v10/60
12,379154,15,13980.0,HLT_ZeroBias_v10/60
13,379238,1,86820.0,HLT_ZeroBias_v10/60
14,379243,1,86820.0,HLT_ZeroBias_v10/60
15,379252,1,86820.0,HLT_ZeroBias_v10/60
16,379253,1,86820.0,HLT_ZeroBias_v10/60
17,379338,1,86820.0,HLT_ZeroBias_v10/60
18,379355,1,184020.0,HLT_ZeroBias_v10/60
19,379416,1,269970.0,HLT_ZeroBias_v10/30
20,379416,6,269970.0,HLT_ZeroBias_v10/30
21,379416,154,269970.0,HLT_ZeroBias_v10/30
22,379420,1,269970.0,HLT_ZeroBias_v10/30
23,379420,2,269970.0,HLT_ZeroBias_v10/30
24,379425,1,269970.0,HLT_ZeroBias_v10/30
25,379433,1,269970.0,HLT_ZeroBias_v10/30
26,379433,5,269970.0,HLT_ZeroBias_v10/30
27,379442,1,269970.0,HLT_ZeroBias_v10/30
28,379442,9,269970.0,HLT_ZeroBias_v10/30
29,379454,1,269970.0,HLT_ZeroBias_v10/30
30,379454,2,269970.0,HLT_ZeroBias_v10/30
31,379456,1,269970.0,HLT_ZeroBias_v10/30
32,379470,1,269970.0,HLT_ZeroBias_v10/30
33,379470,8,269970.0,HLT_ZeroBias_v10/30
34,379530,1,398730.0,HLT_ZeroBias_v10/30
35,379530,451,398730.0,HLT_ZeroBias_v10/30
36,379530,483,398730.0,HLT_ZeroBias_v10/30
37,379530,610,398730.0,HLT_ZeroBias_v10/30
38,379530,622,398730.0,HLT_ZeroBias_v10/30
39,379613,1,398730.0,HLT_ZeroBias_v11/30
40,379617,1,398730.0,HLT_ZeroBias_v11/30
41,379618,1,398730.0,HLT_ZeroBias_v10/30
42,379660,1,399930.0,HLT_ZeroBias_v10/30
43,379660,10,399930.0,HLT_ZeroBias_v10/30
44,379660,639,399930.0,HLT_ZeroBias_v10/30
45,379661,1,399930.0,HLT_ZeroBias_v10/30
46,379729,1,443130.0,HLT_ZeroBias_v10/30
47,379729,689,443130.0,HLT_ZeroBias_v10/30
48,379765,1,443130.0,HLT_ZeroBias_v10/30
49,379765,829,443130.0,HLT_ZeroBias_v10/30
50,379774,1,443130.0,HLT_ZeroBias_v10/30
51,379866,1,270330.0,HLT_ZeroBias_v10/30
52,379866,156,270330.0,HLT_ZeroBias_v10/30
53,379866,187,270330.0,HLT_ZeroBias_v10/30
54,379984,1,316770.0,HLT_ZeroBias_v10/30
55,379984,20,316770.0,HLT_ZeroBias_v10/30
56,379984,135,316770.0,HLT_ZeroBias_v10/30
57,379984,456,316770.0,HLT_ZeroBias_v10/30
58,380001,1,437730.0,HLT_ZeroBias_v10/30
59,380001,4,437730.0,HLT_ZeroBias_v10/30
60,380005,1,437730.0,HLT_ZeroBias_v10/30
61,380005,4,437730.0,HLT_ZeroBias_v10/30
62,380007,1,437730.0,HLT_ZeroBias_v10/30
63,380029,1,494430.0,HLT_ZeroBias_v10/30
64,380030,1,494430.0,HLT_ZeroBias_v10/30
65,380030,17,494430.0,HLT_ZeroBias_v10/30
66,380030,99,494430.0,HLT_ZeroBias_v10/30
67,380030,127,494430.0,HLT_ZeroBias_v10/30
68,380032,1,494430.0,HLT_ZeroBias_v10/30
69,380033,1,494430.0,HLT_ZeroBias_v10/30
70,380043,1,494430.0,HLT_ZeroBias_v10/30
71,380043,3,494430.0,HLT_ZeroBias_v10/30
72,380049,1,494430.0,HLT_ZeroBias_v10/30
73,380049,7,494430.0,HLT_ZeroBias_v10/30
74,380051,1,494430.0,HLT_ZeroBias_v10/30
75,380052,1,494430.0,HLT_ZeroBias_v10/30
76,380053,1,494430.0,HLT_ZeroBias_v10/30
77,380056,1,494430.0,HLT_ZeroBias_v10/30
78,380066,1,494430.0,HLT_ZeroBias_v10/30
79,380074,1,494430.0,HLT_ZeroBias_v10/30
80,380074,9,494430.0,HLT_ZeroBias_v10/30
81,380115,1,526530.0,HLT_ZeroBias_v10/30
82,380115,337,526530.0,HLT_ZeroBias_v10/30
83,380115,378,526530.0,HLT_ZeroBias_v10/30
84,380115,578,526530.0,HLT_ZeroBias_v10/30
85,380195,1,526530.0,HLT_ZeroBias_v10/30
86,380197,1,526530.0,HLT_ZeroBias_v10/30
87,380235,1,526530.0,HLT_ZeroBias_v10/30
88,380235,3,526530.0,HLT_ZeroBias_v10/30
89,380236,1,526530.0,HLT_ZeroBias_v10/30
90,380238,1,526530.0,HLT_ZeroBias_v10/30
91,380306,1,526530.0,HLT_ZeroBias_v11/30
