,# run,cmsls,totprescval,hltpath/prescval
0,378981,1,86820.0,HLT_ZeroBias_v10/60
1,378981,4,420.0,HLT_ZeroBias_v10/60
2,378985,1,420.0,HLT_ZeroBias_v10/60
3,378993,1,86820.0,HLT_ZeroBias_v10/60
4,378993,4,1860.0,HLT_ZeroBias_v10/60
5,378994,1,1860.0,HLT_ZeroBias_v10/60
6,378995,1,1860.0,HLT_ZeroBias_v10/60
7,378996,1,1860.0,HLT_ZeroBias_v10/60
8,378997,1,1860.0,HLT_ZeroBias_v10/60
9,378998,1,1860.0,HLT_ZeroBias_v10/60
10,378999,1,1860.0,HLT_ZeroBias_v10/60
11,379000,1,1860.0,HLT_ZeroBias_v10/60
12,379001,1,1860.0,HLT_ZeroBias_v10/60
13,379002,1,1860.0,HLT_ZeroBias_v10/60
14,379003,1,1860.0,HLT_ZeroBias_v10/60
15,379004,1,1860.0,HLT_ZeroBias_v10/60
16,379005,1,1860.0,HLT_ZeroBias_v10/60
17,379006,1,1860.0,HLT_ZeroBias_v10/60
18,379007,1,1860.0,HLT_ZeroBias_v10/60
19,379008,1,1860.0,HLT_ZeroBias_v10/60
20,379009,1,1860.0,HLT_ZeroBias_v10/60
21,379010,1,1860.0,HLT_ZeroBias_v10/60
22,379011,1,1860.0,HLT_ZeroBias_v10/60
23,379012,1,1860.0,HLT_ZeroBias_v10/60
24,379028,1,1860.0,HLT_ZeroBias_v10/60
25,379029,1,1860.0,HLT_ZeroBias_v10/60
26,379030,1,1447.0,HLT_ZeroBias_v10/1
27,379030,3,31.0,HLT_ZeroBias_v10/1
28,379031,1,1860.0,HLT_ZeroBias_v10/60
29,379058,1,13980.0,HLT_ZeroBias_v10/60
30,379075,1,86820.0,HLT_ZeroBias_v10/60
31,379075,5,13980.0,HLT_ZeroBias_v10/60
32,379154,1,86820.0,HLT_ZeroBias_v10/60
33,379154,15,13980.0,HLT_ZeroBias_v10/60
34,379238,1,86820.0,HLT_ZeroBias_v10/60
35,379243,1,86820.0,HLT_ZeroBias_v10/60
36,379252,1,86820.0,HLT_ZeroBias_v10/60
37,379253,1,86820.0,HLT_ZeroBias_v10/60
38,379315,1,86820.0,HLT_ZeroBias_v10/60
39,379316,1,86820.0,HLT_ZeroBias_v10/60
40,379317,1,86820.0,HLT_ZeroBias_v10/60
41,379318,1,86820.0,HLT_ZeroBias_v10/60
42,379337,1,86820.0,HLT_ZeroBias_v10/60
43,379337,20,86820.0,HLT_ZeroBias_v10/60
44,379338,1,86820.0,HLT_ZeroBias_v10/60
45,379349,1,86820.0,HLT_ZeroBias_v10/60
46,379349,4,184020.0,HLT_ZeroBias_v10/60
47,379350,1,184020.0,HLT_ZeroBias_v10/60
48,379355,1,184020.0,HLT_ZeroBias_v10/60
49,379415,1,269970.0,HLT_ZeroBias_v10/30
50,379416,1,269970.0,HLT_ZeroBias_v10/30
51,379416,6,269970.0,HLT_ZeroBias_v10/30
52,379416,154,269970.0,HLT_ZeroBias_v10/30
53,379420,1,269970.0,HLT_ZeroBias_v10/30
54,379420,2,269970.0,HLT_ZeroBias_v10/30
55,379425,1,269970.0,HLT_ZeroBias_v10/30
56,379433,1,269970.0,HLT_ZeroBias_v10/30
57,379433,5,269970.0,HLT_ZeroBias_v10/30
58,379442,1,269970.0,HLT_ZeroBias_v10/30
59,379442,9,269970.0,HLT_ZeroBias_v10/30
60,379454,1,269970.0,HLT_ZeroBias_v10/30
61,379454,2,269970.0,HLT_ZeroBias_v10/30
62,379456,1,269970.0,HLT_ZeroBias_v10/30
63,379470,1,269970.0,HLT_ZeroBias_v10/30
64,379470,8,269970.0,HLT_ZeroBias_v10/30
65,379530,1,398730.0,HLT_ZeroBias_v10/30
66,379530,451,398730.0,HLT_ZeroBias_v10/30
67,379530,483,398730.0,HLT_ZeroBias_v10/30
68,379530,610,398730.0,HLT_ZeroBias_v10/30
69,379530,622,398730.0,HLT_ZeroBias_v10/30
70,379613,1,398730.0,HLT_ZeroBias_v11/30
71,379614,1,398730.0,HLT_ZeroBias_v11/30
72,379615,1,398730.0,HLT_ZeroBias_v11/30
73,379616,1,398730.0,HLT_ZeroBias_v11/30
74,379617,1,398730.0,HLT_ZeroBias_v11/30
75,379618,1,398730.0,HLT_ZeroBias_v10/30
76,379660,1,399930.0,HLT_ZeroBias_v10/30
77,379660,10,399930.0,HLT_ZeroBias_v10/30
78,379660,639,399930.0,HLT_ZeroBias_v10/30
79,379661,1,399930.0,HLT_ZeroBias_v10/30
80,379729,1,443130.0,HLT_ZeroBias_v10/30
81,379729,689,443130.0,HLT_ZeroBias_v10/30
82,379765,1,443130.0,HLT_ZeroBias_v10/30
83,379765,829,443130.0,HLT_ZeroBias_v10/30
84,379766,1,14771.0,HLT_ZeroBias_v10/1
85,379774,1,443130.0,HLT_ZeroBias_v10/30
86,379866,1,270330.0,HLT_ZeroBias_v10/30
87,379866,156,270330.0,HLT_ZeroBias_v10/30
88,379866,187,270330.0,HLT_ZeroBias_v10/30
89,379984,1,316770.0,HLT_ZeroBias_v10/30
90,379984,20,316770.0,HLT_ZeroBias_v10/30
91,379984,135,316770.0,HLT_ZeroBias_v10/30
92,379984,456,316770.0,HLT_ZeroBias_v10/30
93,380001,1,437730.0,HLT_ZeroBias_v10/30
94,380001,4,437730.0,HLT_ZeroBias_v10/30
95,380005,1,437730.0,HLT_ZeroBias_v10/30
96,380005,4,437730.0,HLT_ZeroBias_v10/30
97,380006,1,437730.0,HLT_ZeroBias_v10/30
98,380007,1,437730.0,HLT_ZeroBias_v10/30
99,380029,1,494430.0,HLT_ZeroBias_v10/30
100,380030,1,494430.0,HLT_ZeroBias_v10/30
101,380030,17,494430.0,HLT_ZeroBias_v10/30
102,380030,99,494430.0,HLT_ZeroBias_v10/30
103,380030,127,494430.0,HLT_ZeroBias_v10/30
104,380032,1,494430.0,HLT_ZeroBias_v10/30
105,380033,1,494430.0,HLT_ZeroBias_v10/30
106,380043,1,494430.0,HLT_ZeroBias_v10/30
107,380043,3,494430.0,HLT_ZeroBias_v10/30
108,380049,1,494430.0,HLT_ZeroBias_v10/30
109,380049,7,494430.0,HLT_ZeroBias_v10/30
110,380050,1,494430.0,HLT_ZeroBias_v10/30
111,380051,1,494430.0,HLT_ZeroBias_v10/30
112,380052,1,494430.0,HLT_ZeroBias_v10/30
113,380053,1,494430.0,HLT_ZeroBias_v10/30
114,380056,1,494430.0,HLT_ZeroBias_v10/30
115,380066,1,494430.0,HLT_ZeroBias_v10/30
116,380074,1,494430.0,HLT_ZeroBias_v10/30
117,380074,9,494430.0,HLT_ZeroBias_v10/30
118,380115,1,526530.0,HLT_ZeroBias_v10/30
119,380115,337,526530.0,HLT_ZeroBias_v10/30
120,380115,378,526530.0,HLT_ZeroBias_v10/30
121,380115,578,526530.0,HLT_ZeroBias_v10/30
122,380195,1,526530.0,HLT_ZeroBias_v10/30
123,380196,1,526530.0,HLT_ZeroBias_v10/30
124,380197,1,526530.0,HLT_ZeroBias_v10/30
125,380235,1,526530.0,HLT_ZeroBias_v10/30
126,380235,3,526530.0,HLT_ZeroBias_v10/30
127,380236,1,526530.0,HLT_ZeroBias_v10/30
128,380237,1,526530.0,HLT_ZeroBias_v10/30
129,380238,1,526530.0,HLT_ZeroBias_v10/30
130,380306,1,526530.0,HLT_ZeroBias_v11/30
131,380306,3,526530.0,HLT_ZeroBias_v11/30
132,380307,1,526530.0,HLT_ZeroBias_v11/30
133,380308,1,526530.0,HLT_ZeroBias_v11/30
134,380309,1,526530.0,HLT_ZeroBias_v11/30
135,380309,7,526530.0,HLT_ZeroBias_v11/30
136,380310,1,526530.0,HLT_ZeroBias_v11/30
137,380346,1,510330.0,HLT_ZeroBias_v11/30
138,380346,155,510330.0,HLT_ZeroBias_v11/30
139,380346,175,510330.0,HLT_ZeroBias_v11/30
140,380346,187,510330.0,HLT_ZeroBias_v11/30
141,380348,1,510330.0,HLT_ZeroBias_v11/30
142,380348,6,510330.0,HLT_ZeroBias_v11/30
143,380349,1,510330.0,HLT_ZeroBias_v11/30
144,380360,1,526530.0,HLT_ZeroBias_v11/30
145,380377,1,526530.0,HLT_ZeroBias_v11/30
146,380377,3,526530.0,HLT_ZeroBias_v11/30
147,380377,110,526530.0,HLT_ZeroBias_v11/30
148,380384,1,526530.0,HLT_ZeroBias_v11/30
149,380384,146,526530.0,HLT_ZeroBias_v11/30
150,380384,680,526530.0,HLT_ZeroBias_v11/30
151,380385,1,526530.0,HLT_ZeroBias_v11/30
152,380399,1,526530.0,HLT_ZeroBias_v11/30
153,380399,3,526530.0,HLT_ZeroBias_v11/30
154,380400,1,526530.0,HLT_ZeroBias_v11/30
155,380401,1,526530.0,HLT_ZeroBias_v11/30
156,380403,1,526530.0,HLT_ZeroBias_v11/30
157,380403,3,526530.0,HLT_ZeroBias_v11/30
158,380444,1,526530.0,HLT_ZeroBias_v11/30
159,380444,6,526530.0,HLT_ZeroBias_v11/30
160,380446,1,526530.0,HLT_ZeroBias_v11/30
161,380447,1,526530.0,HLT_ZeroBias_v11/30
162,380466,1,526530.0,HLT_ZeroBias_v11/30
163,380466,3,526530.0,HLT_ZeroBias_v11/30
164,380470,1,526530.0,HLT_ZeroBias_v11/30
165,380470,15,526530.0,HLT_ZeroBias_v11/30
166,380481,1,526530.0,HLT_ZeroBias_v11/30
167,380513,1,526530.0,HLT_ZeroBias_v11/30
168,380513,5,526530.0,HLT_ZeroBias_v11/30
169,380515,1,17551.0,HLT_ZeroBias_v11/1
170,380516,1,526530.0,HLT_ZeroBias_v11/30
171,380517,1,526530.0,HLT_ZeroBias_v11/30
172,380531,1,526530.0,HLT_ZeroBias_v11/30
173,380532,1,526530.0,HLT_ZeroBias_v11/30
174,380533,1,526530.0,HLT_ZeroBias_v11/30
175,380534,1,526530.0,HLT_ZeroBias_v11/30
176,380535,1,526530.0,HLT_ZeroBias_v11/30
177,380537,1,526530.0,HLT_ZeroBias_v11/30
178,380538,1,526530.0,HLT_ZeroBias_v11/30
179,380564,1,526530.0,HLT_ZeroBias_v11/30
180,380564,2,526530.0,HLT_ZeroBias_v11/30
181,380565,1,526530.0,HLT_ZeroBias_v11/30
182,380567,1,526530.0,HLT_ZeroBias_v11/30
183,380623,1,526530.0,HLT_ZeroBias_v11/30
184,380623,4,526530.0,HLT_ZeroBias_v11/30
185,380624,1,526530.0,HLT_ZeroBias_v11/30
186,380625,1,526530.0,HLT_ZeroBias_v11/30
187,380626,1,526530.0,HLT_ZeroBias_v11/30
188,380627,1,526530.0,HLT_ZeroBias_v11/30
189,380647,1,526530.0,HLT_ZeroBias_v11/30
190,380647,4,526530.0,HLT_ZeroBias_v11/30
191,380647,142,526530.0,HLT_ZeroBias_v11/30
192,380647,318,526530.0,HLT_ZeroBias_v11/30
193,380647,356,526530.0,HLT_ZeroBias_v11/30
194,380648,1,526530.0,HLT_ZeroBias_v11/30
195,380648,4,526530.0,HLT_ZeroBias_v11/30
196,380649,1,526530.0,HLT_ZeroBias_v11/30
197,380883,1,526530.0,HLT_ZeroBias_v11/30
198,380933,1,31530.0,HLT_ZeroBias_v11/30
199,380933,51,31530.0,HLT_ZeroBias_v11/30
200,380945,1,526530.0,HLT_ZeroBias_v11/30
201,380945,8,526530.0,HLT_ZeroBias_v11/30
202,380947,1,526530.0,HLT_ZeroBias_v11/30
203,380947,5,526530.0,HLT_ZeroBias_v11/30
204,380963,1,526530.0,HLT_ZeroBias_v11/30
205,380963,912,526530.0,HLT_ZeroBias_v11/30
206,381022,1,437730.0,HLT_ZeroBias_v11/30
207,381022,4,437730.0,HLT_ZeroBias_v11/30
208,381053,1,526530.0,HLT_ZeroBias_v11/30
209,381065,1,526530.0,HLT_ZeroBias_v11/30
210,381065,138,526530.0,HLT_ZeroBias_v11/30
211,381065,758,526530.0,HLT_ZeroBias_v11/30
212,381067,1,526530.0,HLT_ZeroBias_v11/30
213,381067,4,526530.0,HLT_ZeroBias_v11/30
214,381067,171,526530.0,HLT_ZeroBias_v11/30
215,381068,1,526530.0,HLT_ZeroBias_v11/30
216,381069,1,526530.0,HLT_ZeroBias_v11/30
217,381069,5,526530.0,HLT_ZeroBias_v11/30
218,381070,1,526530.0,HLT_ZeroBias_v11/30
219,381075,1,526530.0,HLT_ZeroBias_v11/30
220,381078,1,526530.0,HLT_ZeroBias_v11/30
221,381078,163,526530.0,HLT_ZeroBias_v11/30
222,381079,1,526530.0,HLT_ZeroBias_v11/30
223,381079,5,526530.0,HLT_ZeroBias_v11/30
224,381079,79,526530.0,HLT_ZeroBias_v11/30
225,381080,1,526530.0,HLT_ZeroBias_v11/30
226,381113,1,526530.0,HLT_ZeroBias_v11/30
227,381114,1,526530.0,HLT_ZeroBias_v11/30
228,381115,1,526530.0,HLT_ZeroBias_v11/30
229,381115,4,526530.0,HLT_ZeroBias_v11/30
230,381115,173,526530.0,HLT_ZeroBias_v11/30
231,381115,386,526530.0,HLT_ZeroBias_v11/30
232,381147,1,526530.0,HLT_ZeroBias_v11/30
233,381147,106,526530.0,HLT_ZeroBias_v11/30
234,381148,1,526530.0,HLT_ZeroBias_v11/30
235,381149,1,526530.0,HLT_ZeroBias_v11/30
236,381150,1,526530.0,HLT_ZeroBias_v11/30
237,381150,3,526530.0,HLT_ZeroBias_v11/30
238,381150,29,526530.0,HLT_ZeroBias_v11/30
239,381151,1,526530.0,HLT_ZeroBias_v11/30
240,381151,54,526530.0,HLT_ZeroBias_v11/30
241,381151,237,526530.0,HLT_ZeroBias_v11/30
242,381151,457,526530.0,HLT_ZeroBias_v11/30
243,381152,1,526530.0,HLT_ZeroBias_v11/30
244,381164,1,526530.0,HLT_ZeroBias_v11/30
245,381164,992,526530.0,HLT_ZeroBias_v11/30
246,381164,1200,526530.0,HLT_ZeroBias_v11/30
247,381190,1,526530.0,HLT_ZeroBias_v11/30
248,381190,138,526530.0,HLT_ZeroBias_v11/30
249,381190,476,526530.0,HLT_ZeroBias_v11/30
250,381190,877,526530.0,HLT_ZeroBias_v11/30
251,381190,1060,526530.0,HLT_ZeroBias_v11/30
252,381191,1,526530.0,HLT_ZeroBias_v11/30
253,381191,9,526530.0,HLT_ZeroBias_v11/30
254,381191,197,526530.0,HLT_ZeroBias_v11/30
255,381199,1,526530.0,HLT_ZeroBias_v11/30
256,381212,1,526530.0,HLT_ZeroBias_v11/30
257,381286,1,526530.0,HLT_ZeroBias_v11/30
258,381309,1,526530.0,HLT_ZeroBias_v11/30
259,381358,1,526530.0,HLT_ZeroBias_v11/30
260,381364,1,526530.0,HLT_ZeroBias_v11/30
261,381365,1,526530.0,HLT_ZeroBias_v11/30
262,381365,473,526530.0,HLT_ZeroBias_v11/30
263,381371,1,526530.0,HLT_ZeroBias_v11/30
264,381379,1,526530.0,HLT_ZeroBias_v11/30
265,381379,795,526530.0,HLT_ZeroBias_v11/30
266,381380,1,526530.0,HLT_ZeroBias_v11/30
267,381380,28,526530.0,HLT_ZeroBias_v11/30
268,381380,177,526530.0,HLT_ZeroBias_v11/30
269,381384,1,526530.0,HLT_ZeroBias_v11/30
270,381384,860,526530.0,HLT_ZeroBias_v11/30
271,381384,982,526530.0,HLT_ZeroBias_v11/30
272,381384,1062,526530.0,HLT_ZeroBias_v11/30
273,381417,1,526530.0,HLT_ZeroBias_v11/30
274,381417,946,526530.0,HLT_ZeroBias_v11/30
275,381417,1067,526530.0,HLT_ZeroBias_v11/30
276,381417,1138,526530.0,HLT_ZeroBias_v11/30
277,381443,1,526530.0,HLT_ZeroBias_v11/30
278,381443,777,526530.0,HLT_ZeroBias_v11/30
279,381443,879,526530.0,HLT_ZeroBias_v11/30
280,381443,977,526530.0,HLT_ZeroBias_v11/30
281,381477,1,526530.0,HLT_ZeroBias_v11/30
282,381478,1,526530.0,HLT_ZeroBias_v11/30
283,381479,1,526530.0,HLT_ZeroBias_v11/30
284,381480,1,526530.0,HLT_ZeroBias_v11/30
285,381480,26,526530.0,HLT_ZeroBias_v11/30
286,381480,138,526530.0,HLT_ZeroBias_v11/30
287,381480,217,526530.0,HLT_ZeroBias_v11/30
288,381484,1,526530.0,HLT_ZeroBias_v11/30
289,381484,876,526530.0,HLT_ZeroBias_v11/30
290,381484,922,526530.0,HLT_ZeroBias_v11/30
291,381484,1032,526530.0,HLT_ZeroBias_v11/30
292,381484,1161,526530.0,HLT_ZeroBias_v11/30
293,381484,1232,526530.0,HLT_ZeroBias_v11/30
294,381499,1,526530.0,HLT_ZeroBias_v11/30
295,381500,1,526530.0,HLT_ZeroBias_v11/30
296,381515,1,526530.0,HLT_ZeroBias_v11/30
297,381516,1,526530.0,HLT_ZeroBias_v11/30
298,381516,505,526530.0,HLT_ZeroBias_v11/30
299,381516,517,526530.0,HLT_ZeroBias_v11/30
300,381516,566,526530.0,HLT_ZeroBias_v11/30
301,381543,1,526530.0,HLT_ZeroBias_v11/30
302,381544,1,526530.0,HLT_ZeroBias_v11/30
303,381544,299,526530.0,HLT_ZeroBias_v11/30
304,381544,412,526530.0,HLT_ZeroBias_v11/30
305,381544,510,526530.0,HLT_ZeroBias_v11/30
306,381594,1,3210.0,HLT_ZeroBias_v11/30
307,382209,1,275970.0,HLT_ZeroBias_v11/30
308,382209,10,450.0,HLT_ZeroBias_v11/30
309,382213,1,275970.0,HLT_ZeroBias_v11/30
310,382213,4,14010.0,HLT_ZeroBias_v11/30
311,382213,276,81570.0,HLT_ZeroBias_v11/30
312,382213,318,14010.0,HLT_ZeroBias_v11/30
313,382229,1,275970.0,HLT_ZeroBias_v11/30
314,382229,5,81570.0,HLT_ZeroBias_v11/30
315,382229,18,275970.0,HLT_ZeroBias_v11/30
316,382229,26,81570.0,HLT_ZeroBias_v11/30
317,382250,1,275970.0,HLT_ZeroBias_v11/30
318,382250,31,275970.0,HLT_ZeroBias_v11/30
319,382250,139,275970.0,HLT_ZeroBias_v11/30
320,382250,142,275970.0,HLT_ZeroBias_v11/30
321,382250,159,526530.0,HLT_ZeroBias_v11/30
